Line,Rep,Score,Parental Temp,Experimental Temp
367,9,77,25,25
367,10,112,25,25
370,1,91,25,25
370,2,116,25,25
370,3,113,25,25
370,4,108,25,25
370,5,107,25,25
370,6,118,25,25
370,7,148,25,25
370,8,89,25,25
370,9,115,25,25
370,10,103,25,25
371,1,106,25,25
371,2,72,25,25
371,3,99,25,25
371,4,125,25,25
371,5,89,25,25
371,6,147,25,25
371,7,99,25,25
371,8,96,25,25
371,9,128,25,25
371,10,89,25,25
373,1,82,25,25
373,2,36,25,25
373,3,73,25,25
373,4,52,25,25
373,5,96,25,25
373,6,71,25,25
373,7,69,25,25
373,8,72,25,25
373,9,49,25,25
373,10,52,25,25
374,1,79,25,25
374,2,82,25,25
374,3,102,25,25
374,4,73,25,25
374,5,100,25,25
374,6,130,25,25
374,7,57,25,25
374,8,48,25,25
374,9,83,25,25
374,10,65,25,25
375,1,110,25,25
375,2,110,25,25
375,3,47,25,25
375,4,138,25,25
375,5,123,25,25
375,6,111,25,25
375,7,107,25,25
375,8,58,25,25
375,9,100,25,25
375,10,83,25,25
377,1,50,25,25
377,2,30,25,25
377,3,48,25,25
377,4,41,25,25
377,5,68,25,25
377,6,47,25,25
377,7,69,25,25
377,8,27,25,25
377,9,37,25,25
377,10,62,25,25
379,1,95,25,25
379,2,119,25,25
379,3,126,25,25
379,4,126,25,25
379,5,131,25,25
379,6,145,25,25
379,7,120,25,25
379,8,99,25,25
379,9,133,25,25
379,10,97,25,25
380,1,114,25,25
380,2,117,25,25
380,3,155,25,25
380,4,131,25,25
380,5,118,25,25
380,6,152,25,25
380,7,102,25,25
380,8,110,25,25
380,9,119,25,25
380,10,122,25,25
381,1,33,25,25
381,2,21,25,25
381,3,29,25,25
381,4,5,25,25
381,5,44,25,25
381,6,9,25,25
381,7,58,25,25
381,8,18,25,25
381,9,36,25,25
381,10,5,25,25
382,1,88,25,25
382,2,131,25,25
382,3,115,25,25
382,4,109,25,25
382,5,90,25,25
382,6,91,25,25
382,7,115,25,25
382,8,94,25,25
382,9,65,25,25
382,10,110,25,25
383,1,64,25,25
383,2,72,25,25
383,3,69,25,25
383,4,56,25,25
383,5,67,25,25
383,6,91,25,25
383,7,76,25,25
383,8,60,25,25
383,9,74,25,25
383,10,48,25,25
385,1,133,25,25
385,2,107,25,25
385,3,138,25,25
385,4,130,25,25
385,5,95,25,25
385,6,157,25,25
385,7,158,25,25
385,8,164,25,25
385,9,123,25,25
385,10,123,25,25
386,1,145,25,25
386,2,154,25,25
386,3,148,25,25
386,4,132,25,25
386,5,125,25,25
386,6,116,25,25
386,7,500,25,25
386,8,151,25,25
386,9,158,25,25
386,10,116,25,25
390,1,77,25,25
390,2,92,25,25
390,3,26,25,25
390,4,80,25,25
390,5,24,25,25
390,6,103,25,25
390,7,101,25,25
390,8,39,25,25
390,9,98,25,25
390,10,73,25,25
391,1,56,25,25
391,2,76,25,25
391,3,47,25,25
391,4,70,25,25
391,5,73,25,25
391,6,89,25,25
391,7,106,25,25
391,8,97,25,25
391,9,54,25,25
391,10,129,25,25
392,1,113,25,25
