tag,cross,female.parent,male.parent,n.female,n.male,n.total,rep
373,28x555,28,555,38,34,72,Red
374,28x712,28,712,27,33,60,Red
375,28x805,28,805,39,46,85,Red
376,28x41,28,41,49,51,100,Red
377,28x517,28,517,35,23,58,Red
378,28x227,28,227,37,28,65,Red
379,28x705,28,705,44,48,92,Red
380,28x158,28,158,26,25,51,Red
381,28x908,28,908,49,24,73,Red
382,28x890,28,890,41,33,74,Red
383,28x129,28,129,23,28,51,Red
384,28x820,28,820,30,32,62,Red
385,28x595,28,595,15,34,49,Red
386,28x318,28,318,26,20,46,Red
387,28x313,28,313,30,18,48,Red
388,28x358,28,358,37,34,71,Red
389,28x882,28,882,19,20,39,Red
390,28x375,28,375,55,55,110,Red
391,28x367,28,367,50,63,113,Red
392,28x639,28,639,27,36,63,Red
393,28x399,28,399,46,40,86,Red
394,28x379,28,379,41,41,82,Red
395,28x380,28,380,9,12,21,Red
396,28x398,28,398,9,7,16,Red
397,28x21,28,21,25,34,59,Red
398,28x235,28,235,23,37,60,Red
399,28x461,28,461,36,41,77,Red
400,28x790,28,790,23,21,44,Red
401,28x45,28,45,26,15,41,Blue
402,28x228,28,228,26,38,64,Blue
403,28x26,28,26,39,39,78,Blue
404,28x810,28,810,29,36,65,Blue
405,28x217,28,217,37,24,61,Blue
406,28x256,28,256,41,49,90,Blue
407,28x233,28,233,33,27,60,Blue
408,28x28,28,28,23,33,56,Blue
409,28x280,28,280,25,43,68,Blue
410,28x513,28,513,24,16,40,Blue
411,28x91,28,91,41,48,89,Blue
412,28x239,28,239,36,39,75,Blue
413,28x370,28,370,51,48,99,Blue
414,28x195,28,195,38,38,76,Blue
415,28x57,28,57,17,27,44,Blue
416,28x138,28,138,40,32,72,Blue
417,28x208,28,208,58,59,117,Blue
418,28x161,28,161,18,23,41,Blue
419,28x386,28,386,39,36,75,Blue
420,28x176,28,176,32,30,62,Blue
421,28x40,28,40,14,15,29,Blue
422,28x365,28,365,71,51,122,Blue
423,28x555,28,555,42,38,80,Blue
424,28x712,28,712,38,30,68,Blue
425,28x805,28,805,36,24,60,Blue
426,28x41,28,41,50,48,98,Blue
427,28x517,28,517,26,26,52,Blue
428,28x227,28,227,28,15,43,Blue
429,28x705,28,705,27,25,52,Blue
430,28x158,28,158,32,29,61,Blue
431,28x908,28,908,32,25,57,Blue
432,28x890,28,890,22,34,56,Blue
433,28x129,28,129,35,29,64,Blue
434,28x820,28,820,23,19,42,Blue
435,28x595,28,595,29,25,54,Blue
436,28x318,28,318,45,38,83,Blue
437,28x313,28,313,32,30,62,Blue
438,28x358,28,358,37,50,87,Blue
439,28x882,28,882,24,24,48,Blue
440,28x375,28,375,37,28,65,Blue
441,28x367,28,367,41,34,75,Blue
442,28x639,28,639,37,33,70,Blue
443,28x399,28,399,47,38,85,Blue
444,28x379,28,379,35,18,53,Blue
445,28x380,28,380,29,20,49,Blue
446,28x398,28,398,41,29,70,Blue
447,28x21,28,21,28,23,51,Blue
448,28x235,28,235,40,31,71,Blue
449,28x461,28,461,20,17,37,Blue
450,28x790,28,790,22,13,35,Blue
451,40x45,40,45,85,63,148,White
452,40x228,40,228,76,61,137,White
453,40x26,40,26,66,73,139,White
454,40x810,40,810,64,54,118,White
455,40x217,40,217,55,25,80,White
456,40x256,40,256,32,39,71,White
457,40x233,40,233,78,56,134,White
458,40x28,40,28,62,66,128,White
459,40x280,40,280,65,66,131,White
460,40x513,40,513,56,52,108,White
461,40x91,40,91,66,62,128,White
462,40x239,40,239,75,67,142,White
463,40x370,40,370,39,45,84,White
464,40x195,40,195,47,53,100,White
465,40x57,40,57,77,74,151,White
466,40x138,40,138,73,59,132,White
467,40x208,40,208,35,38,73,White
468,40x161,40,161,64,74,138,White
469,40x386,40,386,50,50,100,White
470,40x176,40,176,77,86,163,White
471,40x40,40,40,68,58,126,White
472,40x365,40,365,76,69,145,White
473,40x555,40,555,84,72,156,White
474,40x712,40,712,52,58,110,White
475,40x805,40,805,68,68,136,White
476,40x41,40,41,61,71,132,White
477,40x517,40,517,59,72,131,White
478,40x227,40,227,50,57,107,White
479,40x705,40,705,73,73,146,White
480,40x158,40,158,50,61,111,White
481,40x908,40,908,62,53,115,White
482,40x890,40,890,41,51,92,White
483,40x129,40,129,34,36,70,White
484,40x820,40,820,54,59,113,White
485,40x595,40,595,40,35,75,White
486,40x318,40,318,45,37,82,White
487,40x313,40,313,13,18,31,White
488,40x358,40,358,65,64,129,White
489,40x882,40,882,74,60,134,White
490,40x375,40,375,50,59,109,White
491,40x367,40,367,67,77,144,White
492,40x639,40,639,70,72,142,White
493,40x399,40,399,45,38,83,White
494,40x379,40,379,69,68,137,White
495,40x380,40,380,49,38,87,White
496,40x398,40,398,41,49,90,White
497,40x21,40,21,43,42,85,White
498,40x235,40,235,45,52,97,White
499,40x461,40,461,69,78,147,White
500,40x790,40,790,94,107,201,White
501,40x45,40,45,55,45,100,Red
502,40x228,40,228,54,34,88,Red
503,40x26,40,26,64,56,120,Red
504,40x810,40,810,66,48,114,Red
505,40x217,40,217,76,60,136,Red
506,40x256,40,256,52,50,102,Red
507,40x233,40,233,60,67,127,Red
508,40x28,40,28,28,32,60,Red
509,40x280,40,280,58,59,117,Red
510,40x513,40,513,44,46,90,Red
511,40x91,40,91,31,15,46,Red
512,40x239,40,239,79,54,133,Red
513,40x370,40,370,47,47,94,Red
514,40x195,40,195,43,35,78,Red
515,40x57,40,57,53,49,102,Red
516,40x138,40,138,40,42,82,Red
517,40x208,40,208,58,60,118,Red
518,40x161,40,161,60,47,107,Red
519,40x386,40,386,59,52,111,Red
520,40x176,40,176,39,36,75,Red
521,40x40,40,40,20,26,46,Red
522,40x365,40,365,43,33,76,Red
523,40x555,40,555,43,41,84,Red
524,40x712,40,712,39,48,87,Red
525,40x805,40,805,54,49,103,Red
526,40x41,40,41,63,60,123,Red
527,40x517,40,517,55,50,105,Red
528,40x227,40,227,44,32,76,Red
529,40x705,40,705,70,63,133,Red
530,40x158,40,158,77,58,135,Red
531,40x908,40,908,55,54,109,Red
532,40x890,40,890,71,58,129,Red
533,40x129,40,129,76,71,147,Red
534,40x820,40,820,41,53,94,Red
535,40x595,40,595,54,68,122,Red
536,40x318,40,318,46,55,101,Red
537,40x313,40,313,61,55,116,Red
538,40x358,40,358,70,68,138,Red
539,40x882,40,882,45,47,92,Red
540,40x375,40,375,46,55,101,Red
541,40x367,40,367,41,52,93,Red
542,40x639,40,639,53,57,110,Red
543,40x399,40,399,36,29,65,Red
544,40x379,40,379,68,57,125,Red
545,40x380,40,380,35,31,66,Red
546,40x398,40,398,61,66,127,Red
547,40x21,40,21,56,55,111,Red
548,40x235,40,235,31,34,65,Red
549,40x461,40,461,69,69,138,Red
550,40x790,40,790,65,53,118,Red
551,40x45,40,45,62,58,120,Blue
552,40x228,40,228,57,63,120,Blue
553,40x26,40,26,57,59,116,Blue
554,40x810,40,810,61,62,123,Blue
555,40x217,40,217,69,78,147,Blue
556,40x256,40,256,73,49,122,Blue
557,40x233,40,233,32,34,66,Blue
558,40x28,40,28,65,69,134,Blue
559,40x280,40,280,68,68,136,Blue
560,40x513,40,513,54,52,106,Blue
561,40x91,40,91,61,53,114,Blue
562,40x239,40,239,71,53,124,Blue
563,40x370,40,370,74,63,137,Blue
564,40x195,40,195,55,45,100,Blue
565,40x57,40,57,78,62,140,Blue
566,40x138,40,138,77,86,163,Blue
567,40x208,40,208,40,43,83,Blue
568,40x161,40,161,61,40,101,Blue
569,40x386,40,386,74,47,121,Blue
570,40x176,40,176,48,53,101,Blue
571,40x40,40,40,56,43,99,Blue
572,40x365,40,365,62,67,129,Blue
573,40x555,40,555,55,63,118,Blue
574,40x712,40,712,61,65,126,Blue
575,40x805,40,805,43,40,83,Blue
576,40x41,40,41,59,47,106,Blue
577,40x517,40,517,44,29,73,Blue
578,40x227,40,227,34,29,63,Blue
579,40x705,40,705,35,40,75,Blue
580,40x158,40,158,50,61,111,Blue
581,40x908,40,908,17,18,35,Blue
582,40x890,40,890,44,36,80,Blue
583,40x129,40,129,5,9,14,Blue
584,40x820,40,820,60,76,136,Blue
585,40x595,40,595,71,80,151,Blue
586,40x318,40,318,20,24,44,Blue
587,40x313,40,313,30,30,60,Blue
588,40x358,40,358,72,69,141,Blue
589,40x882,40,882,68,68,136,Blue
590,40x375,40,375,55,53,108,Blue
591,40x367,40,367,59,50,109,Blue
592,40x639,40,639,71,85,156,Blue
593,40x399,40,399,66,58,124,Blue
594,40x379,40,379,70,53,123,Blue
595,40x380,40,380,38,51,89,Blue
596,40x398,40,398,73,70,143,Blue
597,40x21,40,21,68,62,130,Blue
598,40x235,40,235,62,57,119,Blue
599,40x461,40,461,70,42,112,Blue
600,40x790,40,790,50,37,87,Blue
601,41x45,41,45,76,81,157,White
602,41x228,41,228,66,56,122,White
603,41x26,41,26,63,55,118,White
604,41x810,41,810,73,59,132,White
605,41x217,41,217,95,76,171,White
606,41x256,41,256,52,38,90,White
607,41x233,41,233,74,65,139,White
608,41x28,41,28,77,45,122,White
609,41x280,41,280,52,55,107,White
610,41x513,41,513,65,53,118,White
611,41x91,41,91,94,68,162,White
612,41x239,41,239,69,57,126,White
613,41x370,41,370,46,62,108,White
614,41x195,41,195,67,42,109,White
615,41x57,41,57,80,61,141,White
616,41x138,41,138,45,46,91,White
617,41x208,41,208,63,45,108,White
618,41x161,41,161,87,62,149,White
619,41x386,41,386,60,68,128,White
620,41x176,41,176,29,13,42,White
621,41x40,41,40,22,19,41,White
622,41x365,41,365,50,31,81,White
623,41x555,41,555,59,60,119,White
624,41x712,41,712,71,74,145,White
625,41x805,41,805,42,50,92,White
626,41x41,41,41,57,52,109,White
627,41x517,41,517,63,56,119,White
628,41x227,41,227,42,32,74,White
629,41x705,41,705,71,47,118,White
630,41x158,41,158,55,42,97,White
631,41x908,41,908,67,51,118,White
632,41x890,41,890,26,17,43,White
633,41x129,41,129,32,33,65,White
634,41x820,41,820,65,73,138,White
635,41x595,41,595,34,31,65,White
636,41x318,41,318,80,50,130,White
637,41x313,41,313,64,51,115,White
638,41x358,41,358,76,84,160,White
639,41x882,41,882,48,47,95,White
640,41x375,41,375,59,59,118,White
641,41x367,41,367,17,27,44,White
642,41x639,41,639,45,41,86,White
643,41x399,41,399,59,33,92,White
644,41x379,41,379,58,75,133,White
645,41x380,41,380,36,40,76,White
646,41x398,41,398,52,56,108,White
647,41x21,41,21,69,83,152,White
648,41x235,41,235,80,54,134,White
649,41x461,41,461,71,68,139,White
650,41x790,41,790,97,71,168,White
651,41x45,41,45,35,31,66,Red
652,41x228,41,228,44,29,73,Red
653,41x26,41,26,62,62,124,Red
654,41x810,41,810,67,68,135,Red
655,41x217,41,217,37,31,68,Red
656,41x256,41,256,67,77,144,Red
657,41x233,41,233,35,35,70,Red
658,41x28,41,28,46,48,94,Red
659,41x280,41,280,46,28,74,Red
660,41x513,41,513,17,22,39,Red
661,41x91,41,91,41,44,85,Red
662,41x239,41,239,42,45,87,Red
663,41x370,41,370,36,31,67,Red
664,41x195,41,195,58,49,107,Red
665,41x57,41,57,35,34,69,Red
666,41x138,41,138,42,56,98,Red
667,41x208,41,208,51,46,97,Red
668,41x161,41,161,44,49,93,Red
669,41x386,41,386,45,65,110,Red
670,41x176,41,176,49,45,94,Red
671,41x40,41,40,26,18,44,Red
672,41x365,41,365,44,43,87,Red
673,41x555,41,555,35,24,59,Red
674,41x712,41,712,63,77,140,Red
675,41x805,41,805,35,39,74,Red
676,41x41,41,41,20,18,38,Red
677,41x517,41,517,62,51,113,Red
678,41x227,41,227,11,11,22,Red
679,41x705,41,705,58,49,107,Red
680,41x158,41,158,35,37,72,Red
681,41x908,41,908,31,32,63,Red
682,41x890,41,890,35,22,57,Red
683,41x129,41,129,27,26,53,Red
684,41x820,41,820,65,59,124,Red
685,41x595,41,595,39,35,74,Red
686,41x318,41,318,52,40,92,Red
687,41x313,41,313,70,31,101,Red
688,41x358,41,358,39,47,86,Red
689,41x882,41,882,30,34,64,Red
690,41x375,41,375,23,39,62,Red
691,41x367,41,367,43,24,67,Red
692,41x639,41,639,70,69,139,Red
693,41x399,41,399,41,47,88,Red
694,41x379,41,379,53,37,90,Red
695,41x380,41,380,22,33,55,Red
696,41x398,41,398,47,33,80,Red
697,41x21,41,21,65,60,125,Red
698,41x235,41,235,46,53,99,Red
699,41x461,41,461,80,78,158,Red
700,41x790,41,790,55,51,106,Red
701,41x45,41,45,30,24,54,Blue
702,41x228,41,228,28,38,66,Blue
703,41x26,41,26,27,31,58,Blue
704,41x810,41,810,67,68,135,Blue
705,41x217,41,217,61,72,133,Blue
706,41x256,41,256,60,49,109,Blue
707,41x233,41,233,49,54,103,Blue
708,41x28,41,28,57,57,114,Blue
709,41x280,41,280,42,47,89,Blue
710,41x513,41,513,25,20,45,Blue
711,41x91,41,91,30,30,60,Blue
712,41x239,41,239,57,48,105,Blue
713,41x370,41,370,39,31,70,Blue
714,41x195,41,195,64,67,131,Blue
715,41x57,41,57,69,68,137,Blue
716,41x138,41,138,37,44,81,Blue
717,41x208,41,208,47,49,96,Blue
718,41x161,41,161,51,54,105,Blue
719,41x386,41,386,46,55,101,Blue
720,41x176,41,176,53,52,105,Blue
721,41x40,41,40,14,13,27,Blue
722,41x365,41,365,33,47,80,Blue
723,41x555,41,555,70,70,140,Blue
724,41x712,41,712,46,45,91,Blue
725,41x805,41,805,30,35,65,Blue
726,41x41,41,41,37,47,84,Blue
727,41x517,41,517,39,41,80,Blue
728,41x227,41,227,20,26,46,Blue
729,41x705,41,705,26,31,57,Blue
730,41x158,41,158,39,30,69,Blue
731,41x908,41,908,44,26,70,Blue
